SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500674,SANOFI      ,A ,Q,6171.05,6264.65,6150.00,6189.15,6151.00,6138.95,113,214,1328343.00,
500676,GLAXOSMITHKL,A ,Q,7925.00,7925.00,7861.75,7890.75,7914.65,7945.20,66,126,993884.00,
500680,PFIZER LTD. ,A ,Q,2973.00,3030.00,2973.00,2999.10,2975.85,2951.65,165,382,1147041.00,
500690,GUJ.ST.FERT ,A ,Q,74.65,76.80,74.65,76.10,76.15,74.45,593,45166,3419896.00,
500696,HIND UNI LT ,A ,Q,1845.00,1845.00,1818.65,1829.35,1829.35,1847.25,1692,30618,55956874.00,
500710,AKZOINDIA   ,A ,Q,1710.00,1717.00,1698.35,1701.15,1699.85,1707.20,86,227,387512.00,
500730,NOCIL LTD   ,A ,Q,86.50,86.90,85.00,85.55,85.55,85.85,1141,48573,4171453.00,
500770,TATA CHEM.  ,A ,Q,574.05,584.95,573.55,578.55,577.90,573.80,963,17603,10215509.00,
500777,T.P.L.      ,B ,Q,31.70,31.70,31.15,31.30,31.30,31.20,79,7968,250039.00,
500780,ZUARIGLOB   ,B ,Q,63.10,65.00,62.70,63.90,63.80,63.80,40,1478,93811.00,
500790,NESTLE (I)  ,A ,Q,12580.75,12668.70,12515.00,12604.05,12604.05,12465.15,604,1895,23885057.00,
500800,TATAGLOBAL  ,A ,Q,268.35,269.10,263.65,264.55,264.55,266.95,613,64038,17054814.00,
500820,ASIAN PAINTS,A ,Q,1537.60,1545.80,1516.00,1520.15,1518.55,1534.90,1927,37331,57005748.00,
500825,BRITANIA IND,A ,Q,2655.00,2705.00,2648.00,2679.60,2679.95,2636.15,1472,16465,44198747.00,
500830,COLGATE PALM,A ,Q,1250.00,1253.00,1238.45,1240.20,1240.00,1244.85,291,6623,8254758.00,
500840,EIH LTD.    ,A ,Q,156.75,158.40,156.10,157.65,157.65,157.65,78,2098,330304.00,
500850,INDIAN HOTEL,A ,Q,138.00,138.00,128.00,131.70,131.70,133.05,1217,105137,13623462.00,
500870,CASTROL     ,A ,Q,120.80,123.45,119.80,120.45,120.45,120.30,550,47951,5847516.00,
500875,ITC LTD.    ,A ,Q,242.30,246.85,242.15,244.35,244.35,243.15,3417,326352,79686064.00,
500877,APOLLO TYRES,A ,Q,175.85,175.85,173.00,173.70,173.70,175.85,1000,111358,19401031.00,
500878,CEAT LIMITED,A ,Q,893.00,911.00,885.25,906.85,909.55,893.30,781,16496,14833506.00,
500940,FINOLEX IND.,A ,Q,501.25,502.75,486.00,500.05,500.00,502.00,181,5743,2840848.00,
501148,DALAL ST INV,XT,Q,170.00,170.00,170.00,170.00,170.00,172.00,2,5,850.00,
501150,CENTRUM CAP ,A ,Q,25.35,25.35,23.90,24.35,24.65,25.20,111,21869,536496.00,
501242,TCI FINANCE ,B ,Q,10.29,10.40,10.29,10.40,10.40,10.20,3,1000,10387.00,
501295,INDUS.INV.TR,B ,Q,52.00,71.00,52.00,61.90,61.90,61.10,24,40,2558.00,
501301,TATA INVEST.,A ,Q,756.05,760.35,754.20,755.20,754.30,755.25,92,266,201231.00,
501314,GROMOTRADE  ,X ,Q,205.80,205.80,205.80,205.80,205.80,216.60,5,11,2263.00,
501343,MOTOR&GEN.FI,T ,Q,40.00,40.00,40.00,40.00,40.00,38.50,1,30,1200.00,
501370,WALCHAND PF ,X ,Q,55.20,55.20,50.80,51.15,51.20,52.75,4,29,1584.00,
501391,W.H.BRADY   ,X ,Q,100.80,100.80,100.80,100.80,100.80,96.00,1,1,100.00,
501423,SHA ENG PLA ,X ,Q,624.95,624.95,610.05,619.40,620.00,620.70,65,2328,1442020.00,
501425,BOM.BURMAH  ,A ,Q,913.65,980.50,910.00,968.05,968.05,905.40,4845,67281,64050899.00,
501430,BOM.CYCLE   ,X ,Q,1050.70,1050.70,1006.00,1049.90,1049.90,1000.70,7,18,18426.00,
501455,GREAVES COTT,A ,Q,121.55,127.00,120.75,124.05,123.30,121.40,220,8349,1034372.00,
501700,INDIA NIVEH ,X ,Q,65.45,65.65,65.45,65.60,65.55,65.50,77,18763,1230563.00,
501831,COAST CORP  ,X ,Q,219.80,219.80,210.00,211.55,215.00,212.75,88,5455,1159936.00,
501833,CHOWGULE ST ,XT,Q,4.40,4.52,4.40,4.52,4.52,4.31,3,1149,5070.00,
501848,GLOBAL OFFS ,B ,Q,6.06,6.44,6.06,6.10,6.10,6.46,6,13000,80050.00,
502015,ASIIL       ,X ,Q,11.80,12.20,11.51,12.09,12.09,11.37,38,15097,181168.00,
502090,SAGAR CEM.  ,B ,Q,560.00,568.00,545.20,560.00,558.65,558.45,44,256,143626.00,
502137,DECAN CEMENT,B ,Q,361.40,361.40,361.40,361.40,361.40,360.55,1,6,2168.00,
502157,MANGALAM CEM,B ,Q,255.00,257.45,252.75,257.00,257.00,247.75,8,48,12214.00,
502168,N C L IND.  ,B ,Q,109.90,109.90,104.40,108.20,108.20,106.50,47,749,80424.00,
502175,SAURAS.CEM. ,X ,Q,37.70,37.70,33.20,34.35,34.35,33.40,57,5581,194108.00,
502180,SRI DIGV CEM,X ,Q,15.50,15.75,15.45,15.55,15.60,15.45,26,8726,135567.00,
502219,BOROSIL GLAS,B ,Q,133.05,137.35,132.50,134.85,135.10,131.00,432,21021,2842716.00,
502281,TRIVENI GLAS,XT,Q,5.32,5.40,5.32,5.40,5.40,5.60,24,2775,14772.00,
502330,IPAPPM      ,B ,Q,446.25,447.40,446.00,446.35,446.30,446.05,149,9248,4128160.00,
502355,BALKRISH IND,A ,Q,715.85,728.00,713.30,724.75,722.85,720.40,517,14910,10770140.00,
502407,NATH PULP   ,X ,Q,57.00,57.00,55.65,55.65,55.65,55.65,2,113,6423.00,
502420,ORIENT PAPER,B ,Q,23.85,25.25,23.85,25.00,25.00,23.75,119,24930,617392.00,
